rank,path,size_bytes,size_mib,file_type,git_status,category,sha256,referenced_by
155,out/tissue_box_front_only_val_predictions_ids/tissue_FDL_004.jpg,2458290,2.344,image,ignored,SAFE_DELETE_CANDIDATE,8767923acfce74f9d52eb6ff54405140d892b020fee91677efb541ee611ca80d,
156,out/tissue_box_front_24_sanitized/verification/tissue_FDL_002_verified.jpg,2455621,2.342,image,ignored,ARCHIVE_RND,5eacdc459ab52b70b70b1fe6df440dbe3f510cd680d19f8fc9c6b4b478f01bf8,
157,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_FDL_002.jpg,2455539,2.342,image,ignored,ARCHIVE_RND,ae7c5d2494b9eeaf806b3182e1de99aee113f1703a6ea195b6ea88ddbcf7e120,
158,out/object_anchor_pilot/label_overlays/legacy_white_background__tissue_FDL_004.jpg,2440161,2.327,image,ignored,ARCHIVE_RND,cc716849323a2709271da3d68245f80e9814fe0b45539b36457d85aadb880a7a,
159,out/tissue_box_front_24_sanitized/verification/tissue_FDL_004_verified.jpg,2434873,2.322,image,ignored,ARCHIVE_RND,d66b87405db487a977ca161f9210aa004c6d76c2398207585b540a21962e6c02,
160,out/tissue_box_front_only_val_predictions/tissue_FDL_004.jpg,2429101,2.317,image,ignored,SAFE_DELETE_CANDIDATE,df17423445e950a9217e2f86a08c8dc51ae5108f6bcb795decea28b3d8d623d1,
161,out/tissue_box_front_only_val_predictions_max1/tissue_FDL_004.jpg,2429101,2.317,image,ignored,SAFE_DELETE_CANDIDATE,df17423445e950a9217e2f86a08c8dc51ae5108f6bcb795decea28b3d8d623d1,
162,out/tissue_box_init_sanitized/dataset/images/train/tissue_box_left.jpg,2416914,2.305,image,ignored,ARCHIVE_RND,7802d062356971931ed2e4ac8b7c642673e594ede9bd2d1968517d52a52de58c,
163,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_FDL_002.jpg,2415570,2.304,image,ignored,ARCHIVE_RND,1d2873d31656b2d8f7966dd6c9500341dfd36e8930245f8bc5c47b5a4492c063,
164,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_FDL_004.jpg,2404085,2.293,image,ignored,ARCHIVE_RND,74c15a94262182016205018731d5932594d960bf82ef39410012430d5efe1194,
165,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_F_005.jpg,2400996,2.29,image,ignored,ARCHIVE_RND,76eecd062e657fd40b5f6caad6359de57659ee9c0b3536fb1fb15dfb56e4d0b3,
166,.venv/Lib/site-packages/av.libs/libx264-164-b33ed15d1f262a67c0da331c9f86f918.dll,2370048,2.26,dll,ignored,SAFE_DELETE_CANDIDATE,24094daeeb4acbaecac5e6e5bfef68304ea5d1e979d4ae4a121b6f661c9165fe,
167,out/tissue_box_init_sanitized/verification/tissue_box_back_verified.jpg,2340284,2.232,image,ignored,ARCHIVE_RND,664ce51826de1b11a4dd698931635f17cf22a9222681a135fae19b5408f9728b,
168,.venv/Lib/site-packages/av.libs/libstdc++-6-8e28568f180c324393d6f94f23394eeb.dll,2338816,2.23,dll,ignored,SAFE_DELETE_CANDIDATE,452d9f49ed100e921f299f77ce86ddd082e4997c91e31110a832b4b622fc237a,
169,out/tissue_box_front_24_sanitized/dataset/images/train/tissue_FTR_003.jpg,2333888,2.226,image,ignored,ARCHIVE_RND,c95fe6cbba5f7b16eff3d22bf538641f5ed0be46d92a804a33ca021c6a2fd832,
